-4,3.06693333333333,0,0,0,0,0,0,0
-2,3.472,0,0,0,0,0,0,0
0,3.472,4.69333333333333,0,0,0,0,0,0
2,3.472,11.3066666666667,0,0,0,0,0,0
4,3.472,12.8,0,0,0,0,0,0
6,3.472,12.8,8.9224,0,0,0,0,0
8,3.472,12.8,23.9496,12.1968,0,0,0,0
10,3.472,12.8,28.176,31.3632,0,0,0,0
12,3.472,12.8,28.176,34.848,22.1184,0,0,0
14,3.472,12.8,28.176,34.848,44.2368,2.15093333333333,0,0
16,3.472,12.8,28.176,34.848,49.152,39.7922666666667,0,0
18,3.472,12.8,28.176,34.848,49.152,64.528,20.7658666666667,0
20,3.472,12.8,28.176,34.848,49.152,64.528,66.1912,0
22,3.472,12.8,28.176,34.848,49.152,64.528,77.872,0
24,3.472,12.8,28.176,34.848,49.152,64.528,77.872,35.8512
26,3.472,12.8,28.176,34.848,49.152,64.528,77.872,88.7744
28,3.472,12.8,28.176,34.848,49.152,64.528,77.872,102.432
30,3.472,12.8,28.176,34.848,49.152,64.528,77.872,102.432
